% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
100.00%,0.917460317,0.00%,0.015873016,0.066666667,32.41%,12.45%,16.60%,18.97%,,41,Cluster 1,38.533834586,3.195488722,34.914900135,34.914900135,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,578,Pakistan,South Waziristan Agency,17.857142857,24,8.728725034,2.59%,23.120300752,0,34.914900135,9.07,0,8.728725034,19.57%,1,0.847913863,630,0.152086137,113,3.70%,,10,42,FATA,0,21.917293233,5379,26.879699248,743,2013
100.00%,0.65625,0.00%,0.03125,0.3125,17.95%,17.95%,17.09%,19.66%,,41,Cluster 1,15.652173913,20.869565217,45.564867267,45.564867267,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,42,Pakistan,Astor,28.695652174,24,44.478716817,2.59%,6.956521739,69.416666667,45.564867267,9.07,62.933333333,44.478716817,27.35%,1,0.547008547,64,0.452991453,53,3.70%,,2,20,GB,0,21.913043478,5379,37.391304348,117,2013
100.00%,0,0.00%,0.378640777,0.679611650,9.21%,17.57%,37.24%,14.23%,,41,Cluster 1,5.978260870,9.239130435,29.573681349,29.573681349,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,0,Pakistan,Diamir,2.717391304,24,36.564253670,2.59%,2.717391304,30.416666667,29.573681349,9.07,61.066666667,36.564253670,21.76%,1,0.861924686,206,0.138075314,33,3.70%,,78,140,GB,25.2,7.5,5379,16.847826087,239,2013
60.39%,0.805970149,39.61%,0,0.194029851,15.83%,15.11%,26.62%,21.58%,6400,41,Cluster 1,49.473684211,22.105263158,89.610462164,89.610462164,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,54,Pakistan,Ghanchi,32.105263158,24,75.998448874,2.59%,46.315789474,72.416666667,89.610462164,9.07,54.366666667,75.998448874,20.86%,1,0.482014388,67,0.517985612,72,3.70%,88366,0,13,GB,87.6,42.105263158,5379,60.526315789,139,2013
89.19%,0.728813559,10.81%,0,0.271186441,49.12%,4.39%,30.70%,14.04%,9635,41,Cluster 1,29.834254144,38.674033149,60.812934560,60.812934560,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,43,Pakistan,Ghizer,49.723756906,24,48.028233640,2.59%,3.314917127,69.833333333,60.812934560,9.07,61.466666667,48.028233640,1.75%,1,0.517543860,59,0.482456140,55,3.70%,120218,0,16,GB,0,31.712707182,5379,37.016574586,114,2013
60.14%,0.818181818,39.86%,0.012987013,0.168831169,52.11%,8.45%,16.90%,21.13%,3800,41,Cluster 1,50,17.164179104,89.855587553,89.855587553,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,63,Pakistan,Gilgit,52.985074627,24,76.968063555,2.59%,1.492537313,79.416666667,89.855587553,9.07,63.8,76.968063555,1.41%,1,0.542253521,77,0.457746479,65,3.70%,243324,1,13,GB,74.8,29.402985075,5379,25.373134328,142,2013
68.70%,0.926829268,31.30%,0,0.073170732,57.58%,4.04%,23.23%,12.12%,15700,41,Cluster 1,47.826086957,17.391304348,81.296971515,81.296971515,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,38,Pakistan,Hunza Nagar,64.130434783,24,78.482576212,2.59%,64.130434783,77.5,81.296971515,9.07,55.133333333,78.482576212,3.03%,1,0.414141414,41,0.585858586,58,3.70%,0,0,3,GB,100,50,5379,56.521739130,99,2013
79.34%,0.713780919,20.66%,0.017667845,0.268551237,22.12%,11.76%,21.88%,17.65%,15000,41,Cluster 1,13.022113022,13.022113022,70.661042845,70.661042845,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",GB,Gender parity score,202,Pakistan,Skardu,23.587223587,24,64.777760711,2.59%,23.095823096,74.416666667,70.661042845,9.07,62.033333333,64.777760711,26.59%,1,0.665882353,283,0.334117647,142,3.70%,214848,5,76,GB,52,19.606879607,5379,25.307125307,425,2013
55.60%,0.994764398,44.40%,0.005235602,0,88.49%,0.26%,11.00%,0.26%,906,41,Cluster 2,0,0,94.403360395,94.403360395,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",ICT,Gender parity score,190,Pakistan,Islamabad,98,24,82.669590099,2.59%,97,97.5,94.403360395,9.07,62.775,82.669590099,0.00%,1,0.488491049,191,0.511508951,200,3.70%,1829180,1,0,ICT,76,97.25,5379,97,391,2013
55.97%,0.632827950,44.03%,0.177323665,0.189848385,23.05%,12.98%,26.79%,22.61%,1967,41,Cluster 1,49.905719673,70.270270270,94.026744988,94.026744988,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,960,Pakistan,Abbottabad,60.025141420,24,74.619186247,2.59%,28.598365808,90,94.026744988,9.07,46.05,74.619186247,14.58%,1,0.830777656,1517,0.169222344,309,3.70%,880666,269,288,KP,68.4,54.569453174,5379,64.047768699,1826,2013
72.76%,0.634894992,27.24%,0.085621971,0.279483037,59.96%,5.41%,17.25%,10.90%,,41,Cluster 2,92.024013722,51.372212693,77.241180982,77.241180982,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,786,Pakistan,Bannu,94.082332762,24,59.554045245,2.59%,93.567753002,70,77.241180982,9.07,44.175,59.554045245,6.48%,1,0.826987308,1238,0.173012692,259,3.70%,,106,346,KP,46.8,84.716981132,5379,92.538593482,1497,2013
76.98%,0.479395604,23.02%,0.309065934,0.211538462,9.91%,15.30%,21.91%,23.62%,1301,41,Cluster 1,26.839826840,11.688311688,73.016085409,73.016085409,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,349,Pakistan,Batagram,23.809523810,24,54.395688019,2.59%,8.225108225,81.666666667,73.016085409,9.07,33.7,54.395688019,29.25%,1,0.891064871,728,0.108935129,89,3.70%,307278,225,154,KP,29.2,22.655122655,5379,42.712842713,817,2013
78.11%,0.742301459,21.89%,0.084278768,0.173419773,51.15%,5.37%,25.32%,13.81%,1865,41,Cluster 2,78.246205734,53.456998314,71.889842002,71.889842002,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,458,Pakistan,Buner,62.394603710,24,61.197460500,2.59%,43.170320405,72.5,71.889842002,9.07,32,61.197460500,4.35%,1,0.789002558,617,0.210997442,165,3.70%,506048,52,107,KP,68.4,63.170320405,5379,78.583473862,782,2013
75.17%,0.873126873,24.83%,0.026973027,0.099900100,68.49%,1.55%,21.36%,7.94%,996,41,Cluster 2,95.975232198,53.457172343,74.830083498,74.830083498,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,874,Pakistan,Charsadda,95.252837977,24,64.745020875,2.59%,75.128998968,72.5,74.830083498,9.07,58.85,64.745020875,0.65%,1,0.817810458,1001,0.182189542,223,3.70%,1022364,27,100,KP,52.8,82.786377709,5379,94.117647059,1224,2013
71.98%,0.426829268,28.02%,0.254573171,0.318597561,28.08%,9.89%,30.65%,20.51%,14850,41,Cluster 1,57.746478873,37.245696401,78.015217277,78.015217277,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,280,Pakistan,Chitral,72.300469484,24,77.422554319,2.59%,35.367762128,92.5,78.015217277,9.07,55.575,77.422554319,10.87%,1,0.800976801,656,0.199023199,163,3.70%,318689,167,209,KP,83.6,53.959311424,5379,67.136150235,819,2013
83.70%,0.728375101,16.30%,0.091350040,0.180274859,43.89%,7.66%,24.13%,18.43%,7326,41,Cluster 2,71.911037891,42.257001647,66.298681359,66.298681359,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,901,Pakistan,Dera Ismail Khan,68.451400329,24,50.968420340,2.59%,52.224052718,52.5,66.298681359,9.07,38.275,50.968420340,5.89%,1,0.783407220,1237,0.216592780,342,3.70%,852995,113,223,KP,46.8,61.993410214,5379,75.123558484,1579,2013
87.53%,0.655487805,12.47%,0.100609756,0.243902439,40.50%,5.50%,25.50%,23.75%,1597,41,Cluster 2,86.084142395,35.922330097,62.466049152,62.466049152,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,215,Pakistan,Hangu,69.902912621,24,55.476928955,2.59%,55.016181230,64.166666667,62.466049152,9.07,46.875,55.476928955,4.75%,1,0.82,328,0.18,72,3.70%,614529,33,80,KP,48.4,66.407766990,5379,85.113268608,400,2013
57.68%,0.675954592,42.32%,0.145510836,0.178534572,48.26%,6.64%,18.79%,14.74%,1725,41,Cluster 2,70.351758794,51.256281407,92.315102414,92.315102414,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,655,Pakistan,Haripur,61.809045226,24,77.564192270,2.59%,53.266331658,94.166666667,92.315102414,9.07,60.575,77.564192270,11.58%,1,0.784615385,969,0.215384615,266,3.70%,692228,141,173,KP,63.2,61.668341709,5379,71.658291457,1235,2013
61.37%,0.871299871,38.63%,0.051480051,0.077220077,30.25%,12.29%,28.78%,20.06%,3372,41,Cluster 1,77.044854881,38.654353562,88.630973496,88.630973496,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,677,Pakistan,Karak,45.118733509,24,69.951493374,2.59%,41.820580475,75,88.630973496,9.07,51.775,69.951493374,8.61%,1,0.814465409,777,0.185534591,177,3.70%,430796,40,60,KP,64.4,53.878627968,5379,66.754617414,954,2013
83.82%,0.897590361,16.18%,0.018072289,0.084337349,62.46%,1.31%,26.10%,10.13%,2545,41,Cluster 2,99.375975039,48.361934477,66.183874285,66.183874285,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,596,Pakistan,Kohat,89.079563183,24,56.000135238,2.59%,70.982839314,71.666666667,66.183874285,9.07,30.15,56.000135238,0.00%,1,0.788598575,664,0.211401425,178,3.70%,562644,12,56,KP,56,81.092043682,5379,97.659906396,842,2013
88.63%,0.508975713,11.37%,0.204857445,0.286166843,2.64%,30.07%,13.57%,15.83%,7492,41,Cluster 1,29.440154440,43.918918919,61.368974396,61.368974396,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,482,Pakistan,Kohistan,66.988416988,24,38.000576932,2.59%,10.038610039,35.833333333,61.368974396,9.07,26,38.000576932,37.89%,1,0.892554194,947,0.107445806,114,3.70%,472570,194,271,KP,28.8,35.212355212,5379,25.675675676,1061,2013
93.85%,0.667377399,6.15%,0.078891258,0.253731343,46.43%,6.77%,26.65%,14.35%,3164,41,Cluster 2,73.507057546,18.132464712,56.149890373,56.149890373,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,626,Pakistan,Lakki Marwat,63.192182410,24,49.612472593,2.59%,71.226927253,60,56.149890373,9.07,34.7,49.612472593,5.79%,1,0.836007130,938,0.163992870,184,3.70%,490025,74,238,KP,47.6,60.086862106,5379,74.375678610,1122,2013
67.33%,0.704527403,32.67%,0.107227959,0.188244639,41.58%,4.71%,31.96%,13.17%,1582,41,Cluster 2,73.338670937,41.633306645,82.671307905,82.671307905,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,887,Pakistan,Lower Dir,50.920736589,24,64.228243643,2.59%,61.889511609,79.166666667,82.671307905,9.07,29.475,64.228243643,8.59%,1,0.807051282,1259,0.192948718,301,3.70%,717649,135,237,KP,65.6,60.784627702,5379,76.140912730,1560,2013
60.65%,0.852575488,39.35%,0.053285968,0.094138544,67.80%,3.55%,18.01%,6.95%,952,41,Cluster 2,83.514492754,45.289855072,89.352386198,89.352386198,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,480,Pakistan,Malakand,73.369565217,24,72.848513216,2.59%,80.434782609,84.166666667,89.352386198,9.07,47.875,72.848513216,3.69%,1,0.798581560,563,0.201418440,142,3.70%,452291,30,53,KP,70,72.898550725,5379,81.884057971,705,2013
62.39%,0.414959016,37.61%,0.331454918,0.253586066,25.48%,12.13%,19.04%,21.65%,4579,41,Cluster 1,42.464498397,67.567567568,87.613906228,87.613906228,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,810,Pakistan,Mansehra,42.647732478,24,68.222226557,2.59%,18.002748511,87.5,87.613906228,9.07,50.575,68.222226557,21.70%,1,0.847222222,1952,0.152777778,352,3.70%,1152839,647,495,KP,47.2,44.269354100,5379,50.664223546,2304,2013
65.27%,0.878766643,34.73%,0.040644709,0.080588648,78.62%,0.61%,14.25%,6.40%,1632,41,Cluster 2,98.268072289,38.253012048,84.726165378,84.726165378,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,1254,Pakistan,Mardan,88.027108434,24,71.287791345,2.59%,69.126506024,72.5,84.726165378,9.07,63.525,71.287791345,0.11%,1,0.794543430,1427,0.205456570,369,3.70%,1460100,58,115,KP,64.4,76.957831325,5379,91.114457831,1796,2013
71.67%,0.866059818,28.33%,0.035110533,0.098829649,61.33%,2.67%,23.28%,10.77%,1748,41,Cluster 2,95.888594164,50.795755968,78.332648001,78.332648001,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,666,Pakistan,Nowshera,77.586206897,24,65.047745334,2.59%,69.893899204,85.833333333,78.332648001,9.07,39.225,65.047745334,1.95%,1,0.787909836,769,0.212090164,207,3.70%,874373,27,76,KP,56.8,77.347480106,5379,92.572944297,976,2013
79.25%,0.881132075,20.75%,0.028301887,0.090566038,60.71%,2.75%,23.59%,11.51%,1257,41,Cluster 2,95.845136922,70.066100094,70.748644019,70.748644019,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,934,Pakistan,Peshawar,82.341831917,24,61.550702672,2.59%,62.606232295,74.166666667,70.748644019,9.07,46.0875,61.550702672,1.45%,1,0.765342960,1060,0.234657040,325,3.70%,2019118,30,96,KP,55.2,80.982058546,5379,94.050991501,1385,2013
96.84%,0.630182421,3.16%,0.109452736,0.260364842,15.21%,13.97%,24.34%,27.25%,1586,41,Cluster 1,32.541133455,33.455210238,53.158233241,53.158233241,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,380,Pakistan,Shangla,17.184643510,24,48.279141644,2.59%,3.656307130,50.833333333,53.158233241,9.07,51.125,48.279141644,19.23%,1,0.834024896,603,0.165975104,120,3.70%,434563,66,157,KP,38,24.936014625,5379,37.842778793,723,2013
65.78%,0.812080537,34.22%,0.064237776,0.123681687,74.96%,1.75%,15.37%,6.93%,1543,41,Cluster 2,91.796875,50.9765625,84.216242507,84.216242507,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,847,Pakistan,Swabi,88.671875,24,67.593643960,2.59%,82.03125,80.833333333,84.216242507,9.07,52.925,67.593643960,0.99%,1,0.793759513,1043,0.206240487,271,3.70%,1026804,67,129,KP,52.4,81.1328125,5379,92.1875,1314,2013
70.15%,0.643013899,29.85%,0.111923921,0.245062180,43.82%,8.36%,20.16%,15.55%,5337,41,Cluster 1,51.316839585,40.303272147,79.848674201,79.848674201,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,879,Pakistan,Swat,47.007182761,24,71.599668550,2.59%,39.505187550,77.5,79.848674201,9.07,47.05,71.599668550,12.11%,1,0.837622549,1367,0.162377451,265,3.70%,1257602,153,335,KP,82,48.204309657,5379,62.889066241,1632,2013
80.55%,0.805157593,19.45%,0.031518625,0.163323782,44.06%,5.83%,28.67%,20.75%,1679,41,Cluster 2,89.367816092,24.137931034,69.453943009,69.453943009,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,281,Pakistan,Tank,67.816091954,24,50.278069085,2.59%,69.827586207,53.333333333,69.453943009,9.07,47.925,50.278069085,0.70%,1,0.813519814,349,0.186480186,80,3.70%,238216,11,57,KP,30.4,68.103448276,5379,89.367816092,429,2013
,0.616504854,,0.111650485,0.271844660,1.27%,20.34%,12.29%,22.46%,497,41,Cluster 1,0,0,0,0,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,127,Pakistan,Tor Ghar,0,24,26.454166667,2.59%,0,43.583333333,0,9.07,62.233333333,26.454166667,43.64%,1,0.872881356,206,0.127118644,30,3.70%,185000,23,56,KP,0,0,5379,0,236,2013
73.00%,0.690210657,27.00%,0.118959108,0.190830235,18.02%,11.67%,26.88%,30.00%,3699,41,Cluster 1,64.240102171,26.181353768,76.996429776,76.996429776,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",KP,Gender parity score,557,Pakistan,Upper Dir,42.911877395,24,72.813690777,2.59%,22.988505747,83.333333333,76.996429776,9.07,43.725,72.813690777,13.44%,1,0.840625,807,0.159375,153,3.70%,575858,96,154,KP,87.2,46.462324393,5379,75.989782886,960,2013
71.06%,0.835680751,28.94%,0.042253521,0.122065728,95.96%,0.00%,4.04%,0.00%,6858,41,Cluster 2,89.738219895,64.816753927,78.942624124,78.942624124,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,712,Pakistan,Attock,83.246073298,24,74.727322698,2.59%,70.680628272,99.166666667,78.942624124,9.07,57.2,74.727322698,0.00%,1,0.662004662,852,0.337995338,435,3.70%,1274935,36,104,Punjab,63.6,78.722513089,5379,85.130890052,1287,2013
66.50%,0.713119216,33.50%,0.097441481,0.189439303,88.43%,0.00%,11.57%,0.00%,8878,41,Cluster 2,70.109471680,60.732984293,83.499761926,83.499761926,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,1310,Pakistan,Bahawalnagar,78.010471204,24,67.579107148,2.59%,42.122798667,74.166666667,83.499761926,9.07,64.65,67.579107148,0.00%,1,0.764461090,1837,0.235538910,566,3.70%,2061447,179,348,Punjab,48,64.112327463,5379,69.585911471,2403,2013
73.81%,0.752610966,26.19%,0.066579634,0.180809399,92.60%,0.00%,7.40%,0.00%,24830,41,Cluster 2,76.972909305,75.971731449,76.192780633,76.192780633,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,1153,Pakistan,Bahawalpur,92.343934040,24,57.494028492,2.59%,50.235571260,60.833333333,76.192780633,9.07,59.75,57.494028492,0.00%,1,0.776482514,1532,0.223517486,441,3.70%,2433091,102,277,Punjab,33.2,76.548881037,5379,87.220259128,1973,2013
79.12%,0.836714976,20.88%,0.024154589,0.139130435,89.96%,0.00%,10.04%,0.00%,8153,41,Cluster 2,79.090183559,47.805267358,70.875417198,70.875417198,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,866,Pakistan,Bhakkar,95.211492418,24,58.564687633,2.59%,55.387071030,70.833333333,70.875417198,9.07,56.15,58.564687633,0.00%,1,0.769516729,1035,0.230483271,310,3.70%,1051456,25,144,Punjab,36.4,71.189146049,5379,78.451715882,1345,2013
57.70%,0.900133156,42.30%,0.015978695,0.083888149,96.61%,0.00%,3.39%,0.00%,6524,41,Cluster 2,90.228013029,71.444082519,92.301581333,92.301581333,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,676,Pakistan,Chakwal,87.079261672,24,82.275395333,2.59%,74.701411509,97.5,92.301581333,9.07,66.9,82.275395333,0.00%,1,0.621688742,751,0.378311258,457,3.70%,1083725,12,63,Punjab,72.4,82.779587405,5379,90.445168295,1208,2013
79.99%,0.822097378,20.01%,0.052434457,0.125468165,96.10%,0.00%,3.90%,0.00%,0,41,Cluster 2,76.455026455,48.280423280,70.010043522,70.010043522,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,439,Pakistan,Chiniot,87.037037037,24,62.342094214,2.59%,38.756613757,68.333333333,70.010043522,9.07,57.825,62.342094214,0.00%,1,0.770562771,534,0.229437229,159,3.70%,965124,28,67,Punjab,53.2,63.571428571,5379,67.328042328,693,2013
88.62%,0.592567103,11.38%,0.206469374,0.200963524,76.37%,0.00%,23.63%,0.00%,11922,41,Cluster 1,48.762233736,43.580886586,61.384132768,61.384132768,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,861,Pakistan,Dera Ghazi Khan,53.770869315,24,55.312699859,2.59%,14.622913069,66.666666667,61.384132768,9.07,60,55.312699859,0.00%,1,0.815375982,1453,0.184624018,329,3.70%,2643118,300,292,Punjab,33.2,41.830742660,5379,48.416810593,1782,2013
53.31%,0.868008949,46.69%,0.041759881,0.090231171,96.09%,0.00%,3.91%,0.00%,5856,41,Cluster 2,81.719783524,56.043295250,96.694196857,96.694196857,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,1164,Pakistan,Faisalabad,84.966927240,24,72.350632548,2.59%,78.051713770,83.333333333,96.694196857,9.07,64.975,72.350632548,0.00%,1,0.576526225,1341,0.423473775,985,3.70%,5429547,56,121,Punjab,44.4,77.510523151,5379,86.770895971,2326,2013
63.34%,0.838209983,36.66%,0.048192771,0.113597246,95.90%,0.00%,4.10%,0.00%,3622,41,Cluster 2,84.523809524,43.849206349,86.663011050,86.663011050,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,974,Pakistan,Gujranwala,91.071428571,24,73.913669429,2.59%,60.846560847,89.166666667,86.663011050,9.07,56.625,73.913669429,0.00%,1,0.679929783,1162,0.320070217,547,3.70%,3400940,56,132,Punjab,63.2,71.944444444,5379,79.431216931,1709,2013
68.86%,0.878172589,31.14%,0.023350254,0.098477157,97.65%,0.00%,2.35%,0.00%,3192,41,Cluster 2,94.210526316,76.090225564,81.138470075,81.138470075,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,865,Pakistan,Gujrat,95.864661654,24,77.159617519,2.59%,84.661654135,92.5,81.138470075,9.07,66.2,77.159617519,0.00%,1,0.662407532,985,0.337592468,502,3.70%,2048008,23,97,Punjab,68.8,88.030075188,5379,89.323308271,1487,2013
